,subject,task_number,cross_val_score,training_score
0,86,1,,0.2222222222222222
0,87,1,,0.6666666666666666
0,88,1,,0.3333333333333333
0,89,1,,0.7777777777777778
0,90,1,,0.4444444444444444
0,91,1,,0.6666666666666666
0,92,1,,0.3333333333333333
0,93,1,,0.6666666666666666
0,94,1,,0.8888888888888888
0,95,1,,0.6666666666666666
0,96,1,,0.1111111111111111
0,97,1,,0.7777777777777778
0,98,1,,0.6666666666666666
0,99,1,,0.4444444444444444
0,100,1,,0.8571428571428571
0,101,1,,0.8888888888888888
0,102,1,,0.7777777777777778
0,103,1,,0.7777777777777778
0,104,1,,0.6666666666666666
0,105,1,,0.6666666666666666
0,106,1,,0.7777777777777778
0,107,1,,0.5555555555555556
0,108,1,,0.4444444444444444
0,1,2,,0.8888888888888888
0,2,2,,1.0
0,3,2,,1.0
0,4,2,,0.8888888888888888
0,5,2,,0.8888888888888888
0,6,2,,0.5555555555555556
0,7,2,,1.0
0,8,2,,0.8888888888888888
0,9,2,,1.0
0,10,2,,0.7777777777777778
0,11,2,,0.7777777777777778
0,12,2,,0.8888888888888888
0,13,2,,0.5555555555555556
0,14,2,,1.0
0,15,2,,1.0
0,16,2,,0.8888888888888888
0,17,2,,0.7777777777777778
0,18,2,,0.6666666666666666
0,19,2,,1.0
0,20,2,,0.7777777777777778
0,21,2,,0.7777777777777778
0,22,2,,1.0
0,23,2,,0.6666666666666666
0,24,2,,0.8888888888888888
0,25,2,,1.0
0,26,2,,0.7777777777777778
0,27,2,,0.6666666666666666
0,28,2,,0.7777777777777778
0,29,2,,1.0
0,30,2,,0.7777777777777778
0,31,2,,1.0
0,32,2,,1.0
0,33,2,,0.7777777777777778
0,34,2,,0.7777777777777778
0,35,2,,1.0
0,36,2,,1.0
0,37,2,,0.8888888888888888
0,38,2,,0.5555555555555556
0,39,2,,0.6666666666666666
0,40,2,,0.6666666666666666
0,41,2,,0.8888888888888888
0,42,2,,1.0
0,43,2,,0.7777777777777778
0,44,2,,0.3333333333333333
0,45,2,,0.7777777777777778
0,46,2,,1.0
0,47,2,,1.0
0,48,2,,0.8888888888888888
0,49,2,,1.0
0,50,2,,0.8888888888888888
0,51,2,,0.8888888888888888
0,52,2,,0.8888888888888888
0,53,2,,1.0
0,54,2,,0.8888888888888888
0,55,2,,1.0
0,56,2,,1.0
0,57,2,,0.8888888888888888
0,58,2,,1.0
0,59,2,,0.5555555555555556
0,60,2,,1.0
0,61,2,,0.8888888888888888
0,62,2,,0.8888888888888888
0,63,2,,0.6666666666666666
0,64,2,,1.0
0,65,2,,0.8888888888888888
0,66,2,,0.6666666666666666
0,67,2,,0.4444444444444444
0,68,2,,1.0
0,69,2,,0.8888888888888888
0,70,2,,1.0
0,71,2,,0.8888888888888888
0,72,2,,1.0
0,73,2,,1.0
0,74,2,,0.7777777777777778
0,75,2,,0.7777777777777778
0,76,2,,0.8888888888888888
0,77,2,,1.0
0,78,2,,0.6666666666666666
0,79,2,,1.0
0,80,2,,0.7777777777777778
0,81,2,,0.8888888888888888
0,82,2,,0.6666666666666666
0,83,2,,1.0
0,84,2,,0.7777777777777778
0,85,2,,0.8888888888888888
0,86,2,,0.2222222222222222
0,87,2,,0.7777777777777778
0,88,2,,0.4166666666666667
0,89,2,,1.0
0,90,2,,0.5555555555555556
0,91,2,,0.7777777777777778
0,92,2,,0.5833333333333334
0,93,2,,1.0
0,94,2,,0.7777777777777778
0,95,2,,0.8888888888888888
0,96,2,,0.4444444444444444
0,97,2,,0.3333333333333333
0,98,2,,1.0
0,99,2,,0.7777777777777778
0,100,2,,1.0
0,101,2,,1.0
0,102,2,,0.7777777777777778
0,103,2,,1.0
0,104,2,,1.0
0,105,2,,1.0
0,106,2,,1.0
0,107,2,,0.4444444444444444
0,108,2,,0.8888888888888888
0,1,3,,0.7777777777777778
0,2,3,,0.5555555555555556
0,3,3,,0.6666666666666666
0,4,3,,0.6666666666666666
0,5,3,,0.4444444444444444
0,6,3,,0.5555555555555556
0,7,3,,0.8888888888888888
0,8,3,,0.4444444444444444
0,9,3,,1.0
0,10,3,,0.6666666666666666
0,11,3,,0.7777777777777778
0,12,3,,0.5555555555555556
0,13,3,,0.6666666666666666
0,14,3,,0.4444444444444444
0,15,3,,0.8888888888888888
0,16,3,,0.4444444444444444
0,17,3,,0.4444444444444444
0,18,3,,0.7777777777777778
0,19,3,,0.7777777777777778
0,20,3,,0.6666666666666666
0,21,3,,0.5555555555555556
0,22,3,,0.8888888888888888
0,23,3,,0.4444444444444444
0,24,3,,0.7777777777777778
0,25,3,,1.0
0,26,3,,0.3333333333333333
0,27,3,,0.3333333333333333
0,28,3,,0.6666666666666666
0,29,3,,0.8888888888888888
0,30,3,,0.6666666666666666
0,31,3,,0.6666666666666666
0,32,3,,0.8888888888888888
0,33,3,,0.5555555555555556
0,34,3,,0.8888888888888888
0,35,3,,0.7777777777777778
0,36,3,,0.6666666666666666
0,37,3,,0.3333333333333333
0,38,3,,0.6666666666666666
0,39,3,,0.4444444444444444
0,40,3,,0.8888888888888888
0,41,3,,0.5555555555555556
0,42,3,,1.0
0,43,3,,0.6666666666666666
0,44,3,,0.8888888888888888
0,45,3,,0.8888888888888888
0,46,3,,1.0
0,47,3,,0.8888888888888888
0,48,3,,0.7777777777777778
0,49,3,,0.7777777777777778
0,50,3,,0.5555555555555556
0,51,3,,0.6666666666666666
0,52,3,,0.7777777777777778
0,53,3,,0.6666666666666666
0,54,3,,0.8888888888888888
0,55,3,,0.8888888888888888
0,56,3,,0.7777777777777778
0,57,3,,0.5555555555555556
0,58,3,,0.7777777777777778
0,59,3,,0.4444444444444444
0,60,3,,0.6666666666666666
0,61,3,,0.5555555555555556
0,62,3,,0.8888888888888888
0,63,3,,0.7777777777777778
0,64,3,,0.8888888888888888
0,65,3,,0.7777777777777778
0,66,3,,0.8888888888888888
0,67,3,,0.8888888888888888
0,68,3,,0.8888888888888888
0,69,3,,0.8888888888888888
0,70,3,,1.0
0,71,3,,0.8888888888888888
0,72,3,,0.6666666666666666
0,73,3,,1.0
0,74,3,,0.7777777777777778
0,75,3,,0.2222222222222222
0,76,3,,0.4444444444444444
0,77,3,,0.6666666666666666
0,78,3,,0.4444444444444444
0,79,3,,0.7777777777777778
0,80,3,,0.8888888888888888
0,81,3,,0.8888888888888888
0,82,3,,0.7777777777777778
0,83,3,,0.5555555555555556
0,84,3,,0.4444444444444444
0,85,3,,0.6666666666666666
0,86,3,,0.7777777777777778
0,87,3,,0.7777777777777778
0,88,3,,0.4166666666666667
0,89,3,,0.8888888888888888
0,90,3,,0.5555555555555556
0,91,3,,0.5555555555555556
0,92,3,,0.4166666666666667
0,93,3,,0.8888888888888888
0,94,3,,0.5555555555555556
0,95,3,,0.7777777777777778
0,96,3,,0.2222222222222222
0,97,3,,0.8888888888888888
0,98,3,,0.7777777777777778
