,subject,task_number,cross_val_score,training_score
0,11,1,0.5611111111111111,0.7777777777777778
0,12,1,0.5111111111111111,0.6666666666666666
0,13,1,0.6,0.6666666666666666
0,14,1,0.3944444444444445,0.7777777777777778
0,15,1,0.7222222222222221,1.0
0,16,1,0.49444444444444446,0.6666666666666666
0,17,1,0.6666666666666667,0.6666666666666666
0,18,1,0.45555555555555555,0.8888888888888888
0,19,1,0.4166666666666667,1.0
0,20,1,0.5888888888888889,0.5555555555555556
0,21,1,0.42222222222222217,0.8888888888888888
0,22,1,0.6222222222222222,1.0
0,23,1,0.55,0.6666666666666666
0,24,1,0.5999999999999999,0.8888888888888888
0,25,1,0.5944444444444444,1.0
0,26,1,0.4611111111111111,0.6666666666666666
0,27,1,0.45,0.8888888888888888
0,28,1,0.5111111111111111,0.7777777777777778
0,29,1,0.9,0.8888888888888888
0,30,1,0.5333333333333334,0.3333333333333333
0,31,1,0.7166666666666666,1.0
0,32,1,0.8833333333333334,1.0
0,33,1,0.65,0.7777777777777778
0,34,1,0.7411764705882353,1.0
0,35,1,0.6555555555555557,1.0
0,36,1,0.5777777777777778,0.8888888888888888
0,37,1,0.4,0.6666666666666666
0,38,1,0.32222222222222224,0.8888888888888888
0,39,1,0.3555555555555555,0.6666666666666666
0,40,1,0.3,0.7777777777777778
0,41,1,0.5333333333333333,1.0
0,42,1,0.861111111111111,0.8888888888888888
0,43,1,0.6944444444444444,0.8888888888888888
0,44,1,0.5611111111111111,1.0
0,45,1,0.5944444444444444,1.0
0,46,1,0.5,1.0
0,47,1,0.34444444444444444,0.6666666666666666
0,48,1,0.7,0.8888888888888888
0,49,1,0.6444444444444445,0.8888888888888888
0,50,1,0.5611111111111112,1.0
0,51,1,0.6277777777777778,1.0
0,52,1,0.638888888888889,0.7777777777777778
0,53,1,0.6777777777777778,1.0
0,54,1,0.6611111111111112,0.8888888888888888
0,55,1,0.7333333333333334,0.8888888888888888
0,56,1,0.8777777777777779,1.0
0,57,1,0.47777777777777775,0.8888888888888888
0,58,1,0.5555555555555556,1.0
0,59,1,0.42777777777777787,0.5555555555555556
0,60,1,0.6666666666666667,0.7777777777777778
0,61,1,0.55,0.8888888888888888
0,62,1,0.8,0.8888888888888888
0,63,1,0.4833333333333333,0.8888888888888888
0,64,1,0.5,0.8888888888888888
0,65,1,0.5777777777777777,0.8888888888888888
0,66,1,0.42777777777777776,0.5555555555555556
0,67,1,0.40555555555555556,0.5555555555555556
0,68,1,0.5722222222222222,1.0
0,69,1,0.5944444444444446,0.6666666666666666
0,70,1,0.65,1.0
0,71,1,0.65,0.5555555555555556
0,72,1,0.7352941176470589,0.8888888888888888
0,73,1,0.711764705882353,0.8888888888888888
0,74,1,0.4294117647058823,0.6666666666666666
0,75,1,0.48888888888888893,0.8888888888888888
0,76,1,0.4294117647058823,0.7777777777777778
0,77,1,0.35,0.6666666666666666
0,78,1,0.3388888888888889,0.8888888888888888
0,79,1,0.55,1.0
0,80,1,0.5222222222222223,0.8888888888888888
0,81,1,0.6555555555555556,1.0
0,82,1,0.5166666666666667,0.7777777777777778
0,83,1,0.5611111111111111,0.8888888888888888
0,84,1,0.43888888888888883,0.8888888888888888
0,85,1,0.6666666666666666,1.0
0,86,1,0.5166666666666666,0.4444444444444444
0,87,1,0.3055555555555556,0.7777777777777778
0,88,1,0.3391304347826087,0.6666666666666666
0,89,1,0.6444444444444444,1.0
0,90,1,0.5166666666666667,0.5555555555555556
0,91,1,0.5055555555555555,0.6666666666666666
0,92,1,0.3652173913043478,0.4166666666666667
0,93,1,0.5555555555555556,0.7777777777777778
0,94,1,0.7777777777777778,1.0
0,95,1,0.4166666666666667,0.6666666666666666
0,96,1,0.37222222222222223,0.2222222222222222
0,97,1,0.42777777777777776,0.7777777777777778
0,98,1,0.6277777777777778,0.7777777777777778
0,99,1,0.42777777777777776,0.5555555555555556
0,100,1,0.5857142857142857,0.8571428571428571
0,101,1,0.42777777777777776,1.0
0,102,1,0.7176470588235294,0.8888888888888888
0,103,1,0.4611111111111111,0.8888888888888888
0,104,1,0.5529411764705883,0.8888888888888888
0,105,1,0.5333333333333333,0.6666666666666666
0,106,1,0.5944444444444444,1.0
0,107,1,0.27222222222222225,0.7777777777777778
0,108,1,0.5611111111111111,0.6666666666666666
0,1,2,0.8111111111111112,0.8888888888888888
0,2,2,0.9333333333333333,1.0
0,3,2,0.5444444444444445,1.0
0,4,2,0.95,0.8888888888888888
0,5,2,0.861111111111111,0.8888888888888888
0,6,2,0.6111111111111112,0.8888888888888888
0,7,2,0.888888888888889,1.0
0,8,2,0.861111111111111,0.8888888888888888
0,9,2,0.6722222222222223,1.0
0,10,2,0.6722222222222223,0.8888888888888888
0,11,2,0.6388888888888888,0.7777777777777778
0,12,2,0.8,0.8888888888888888
0,13,2,0.9,0.7777777777777778
0,14,2,0.9833333333333334,1.0
0,15,2,0.8444444444444443,1.0
0,16,2,0.8388888888888888,0.8888888888888888
0,17,2,0.8,0.7777777777777778
0,18,2,0.8277777777777777,0.8888888888888888
0,19,2,0.8833333333333334,1.0
0,20,2,0.6722222222222223,1.0
0,21,2,0.7,1.0
0,22,2,0.9388888888888889,1.0
0,23,2,0.75,0.6666666666666666
0,24,2,0.8611111111111113,0.8888888888888888
0,25,2,0.9222222222222222,1.0
0,26,2,0.888888888888889,0.8888888888888888
0,27,2,0.8444444444444444,0.7777777777777778
0,28,2,0.9111111111111112,0.8888888888888888
0,29,2,0.961111111111111,1.0
0,30,2,0.7222222222222221,0.8888888888888888
0,31,2,0.8944444444444443,1.0
0,32,2,0.9166666666666667,1.0
0,33,2,0.8555555555555555,0.8888888888888888
0,34,2,0.8294117647058823,1.0
0,35,2,0.8722222222222223,1.0
0,36,2,0.8777777777777779,1.0
0,37,2,0.7588235294117648,0.7777777777777778
0,38,2,0.6722222222222223,0.6666666666666666
0,39,2,0.6555555555555556,1.0
0,40,2,0.4722222222222222,0.8888888888888888
0,41,2,0.8058823529411765,0.8888888888888888
0,42,2,0.9444444444444444,1.0
